stage,stage_name,rank_within_stage,feature_1,feature_1_low,feature_1_high,feature_2,feature_2_low,feature_2_high,coverage,precision,lift,distinctiveness_index
1,N1,47,Index_N_noEOG,0.2242669016122818,0.5742504000663757,Theta,0.10223731398582458,0.39980393648147583,0.39636520986585894,0.1614345824246029,1.454500439882817,0.18014816223827795
1,N1,48,Index_R_noEOG,0.3408217430114746,0.6947346925735474,Index_4,0.23514603078365326,0.5287877321243286,0.3792189528342709,0.16360390633203822,1.47404571035847,0.1797671178777171
1,N1,49,Delta,0.05236256122589111,0.146558478474617,Index_4,0.23514603078365326,0.5287877321243286,0.37137602769363914,0.16374715302703283,1.4753363407658595,0.17652852205205494
1,N1,50,Delta,0.05236256122589111,0.146558478474617,Theta,0.10223731398582458,0.39980393648147583,0.39000973604500216,0.1607477260567148,1.4483119710044332,0.17484603347725367
1,N1,51,EOG,0.05000000074505806,0.15811192989349365,Index_4,0.23514603078365326,0.5287877321243286,0.4874513197749892,0.15074771670402462,1.3582134445061635,0.17461161628567426
1,N1,52,Aperiodic,0.2602565586566925,0.7036455869674683,Index_R,0.2306656837463379,0.5750745534896851,0.3682388576373864,0.16222076606898195,1.461583832049499,0.1699731030177947
1,N1,53,Index_1,0.47439470887184143,0.8134779930114746,MSE,0.34631413221359253,0.8674126267433167,0.3908751622674167,0.1578717408163934,1.4223997920009184,0.16510558724008204
1,N1,54,Index_2,0.2058306783437729,0.45722874999046326,MSE,0.34631413221359253,0.8674126267433167,0.36656209433145825,0.16047453292604957,1.4458505434542914,0.1634319089674239
1,N1,55,Delta,0.05236256122589111,0.146558478474617,Aperiodic,0.2602565586566925,0.7036455869674683,0.3833567719601904,0.15453970607474599,1.3923786780323888,0.15042102339650346
1,N1,56,Index_N_noEOG,0.2242669016122818,0.5742504000663757,MSE,0.34631413221359253,0.8674126267433167,0.3950670705322371,0.15321844746751134,1.3804743438026439,0.15031288441878574
1,N1,57,Index_N_noEOG,0.2242669016122818,0.5742504000663757,Aperiodic,0.2602565586566925,0.7036455869674683,0.39412051060147124,0.15326125822939235,1.3808600620982683,0.15010476214187754
1,N1,58,Index_4,0.23514603078365326,0.5287877321243286,Index_R,0.2306656837463379,0.5750745534896851,0.3620726958026828,0.1563014418305995,1.4082516427550682,0.14781677285820136
1,N1,59,Aperiodic,0.2602565586566925,0.7036455869674683,Index_4,0.23514603078365326,0.5287877321243286,0.36034184335785374,0.15165380500352843,1.366377158937156,0.13202102081562817
1,N1,60,Index_R,0.2306656837463379,0.5750745534896851,MSE,0.34631413221359253,0.8674126267433167,0.3664539160536564,0.1501817698173435,1.3531143512185624,0.1294001368187884
1,N1,61,Delta,0.05236256122589111,0.146558478474617,MSE,0.34631413221359253,0.8674126267433167,0.39663565556036345,0.14587664243015008,1.3143258240989228,0.12467282930102776
1,N1,62,Index_R,0.2306656837463379,0.5750745534896851,Theta,0.10223731398582458,0.39980393648147583,0.3597198182604933,0.14711217289357842,1.3254577611074287,0.11707360667703132
1,N1,63,Aperiodic,0.2602565586566925,0.7036455869674683,Theta,0.10223731398582458,0.39980393648147583,0.3752704456945045,0.1444935021659447,1.3018639457795984,0.11328061747181165
1,N1,64,Aperiodic,0.2602565586566925,0.7036455869674683,MSE,0.34631413221359253,0.8674126267433167,0.42000216356555603,0.1388516352842301,1.2510316040473257,0.10543381682320879
1,N1,65,Index_4,0.23514603078365326,0.5287877321243286,MSE,0.34631413221359253,0.8674126267433167,0.3580430549545651,0.1415042914096987,1.2749316225155116,0.09843735802906908
