epoch,consensus_stage,consensus_stage_name,n_subjects_contributing
732,2,N2,100
733,2,N2,100
734,2,N2,100
735,2,N2,100
736,2,N2,100
737,2,N2,100
738,2,N2,100
739,2,N2,100
740,2,N2,100
741,2,N2,100
742,2,N2,100
743,2,N2,100
744,2,N2,100
745,2,N2,100
746,2,N2,100
747,2,N2,100
748,2,N2,100
749,2,N2,100
750,2,N2,100
751,2,N2,100
752,2,N2,100
753,2,N2,100
754,2,N2,100
755,2,N2,100
756,2,N2,100
757,2,N2,100
758,2,N2,100
759,2,N2,100
760,2,N2,100
761,2,N2,100
762,2,N2,100
763,2,N2,100
764,2,N2,100
765,2,N2,100
766,2,N2,100
767,2,N2,100
768,2,N2,100
769,2,N2,100
770,2,N2,100
771,2,N2,100
772,2,N2,100
773,2,N2,100
774,2,N2,100
775,2,N2,100
776,2,N2,100
777,2,N2,100
778,2,N2,100
779,2,N2,100
780,2,N2,100
781,2,N2,100
782,2,N2,100
783,2,N2,100
784,2,N2,100
785,2,N2,100
786,2,N2,100
787,2,N2,100
788,2,N2,100
789,2,N2,100
790,2,N2,100
791,2,N2,100
792,2,N2,100
793,2,N2,100
794,2,N2,100
795,2,N2,100
796,2,N2,100
797,2,N2,100
798,2,N2,100
799,2,N2,100
800,2,N2,100
801,2,N2,100
802,2,N2,100
803,2,N2,100
804,2,N2,100
805,2,N2,100
806,2,N2,100
807,2,N2,100
808,2,N2,100
809,2,N2,100
810,2,N2,100
811,2,N2,100
812,2,N2,100
813,2,N2,100
814,2,N2,100
815,2,N2,100
816,2,N2,100
817,2,N2,100
818,2,N2,100
819,2,N2,100
820,2,N2,100
821,2,N2,100
822,2,N2,100
823,2,N2,100
824,2,N2,100
825,2,N2,100
826,2,N2,100
827,2,N2,100
828,2,N2,100
829,2,N2,100
830,2,N2,100
831,2,N2,100
832,2,N2,100
833,2,N2,100
834,2,N2,100
835,2,N2,100
836,2,N2,100
837,2,N2,100
838,2,N2,100
839,2,N2,100
840,2,N2,100
841,2,N2,100
842,2,N2,100
843,2,N2,100
844,2,N2,100
845,2,N2,100
846,2,N2,100
847,2,N2,100
848,2,N2,100
849,2,N2,100
850,2,N2,100
851,2,N2,100
852,2,N2,100
853,2,N2,100
854,2,N2,100
855,2,N2,100
856,2,N2,100
857,2,N2,100
858,2,N2,100
859,2,N2,100
860,2,N2,100
861,2,N2,100
862,2,N2,100
863,2,N2,100
864,2,N2,100
865,2,N2,100
866,2,N2,100
867,2,N2,100
868,2,N2,100
869,2,N2,100
870,2,N2,100
871,2,N2,100
872,2,N2,100
873,2,N2,100
874,2,N2,100
875,2,N2,100
876,2,N2,100
877,2,N2,100
878,2,N2,100
879,2,N2,100
880,2,N2,100
881,2,N2,100
882,2,N2,100
883,2,N2,100
884,2,N2,100
885,2,N2,100
886,2,N2,100
887,2,N2,100
888,2,N2,100
889,2,N2,100
