feature,stage,stage_name,n,mean,std,median,q25,q75,iqr,min,max,skew,kurtosis,is_constant,outlier_pct
MSE,1,N1,36976.0,0.5999232181962475,0.267896106298754,0.6136526167392731,0.3985797315835953,0.8194423615932465,0.4208626300096512,0.05000000074505806,1.0,-0.23402448903704276,-0.9073973160545545,0,0.0
MSE,2,N2,131253.0,0.41434489501483374,0.22335943988676116,0.3994825482368469,0.23968040943145752,0.5723211765289307,0.33264076709747314,0.05000000074505806,1.0,0.31990667594611744,-0.5883163362190862,0,0.0
MSE,3,N3,28989.0,0.1543365843369701,0.12800171915971725,0.11231008172035217,0.05000000074505806,0.21204915642738342,0.16204915568232536,0.05000000074505806,1.0,1.7997761339001934,4.317539568373703,0,3.3805926385870504
MSE,4,REM,50064.0,0.5667597639505249,0.2493946314848498,0.5946402549743652,0.38990578800439835,0.7581596225500107,0.36825383454561234,0.05000000074505806,1.0,-0.31909804225830685,-0.7122789673253869,0,0.0
MSE,6,Unknown/Uncertain,313.0,0.2302053108240088,0.1837588488357844,0.18927828967571259,0.05000000074505806,0.4045848846435547,0.35458488389849663,0.05000000074505806,0.615833044052124,0.2976882871526281,-1.552430064437604,0,0.0
EOG,0,Awake,85553.0,0.4040038540708808,0.2926859112987096,0.33533045649528503,0.1455783098936081,0.6287704110145569,0.4831921011209488,0.05000000074505806,1.0,0.5588012345783397,-0.8952160981064048,0,0.0
EOG,1,N1,36976.0,0.11497288224430798,0.11119495865677267,0.06791289895772934,0.05000000074505806,0.13358792662620544,0.08358792588114738,0.05000000074505806,1.0,3.098013246551829,13.081295053203473,0,8.667784508870618
EOG,2,N2,131253.0,0.10211057044234681,0.084355474473378,0.06972019374370575,0.05000000074505806,0.12242311984300613,0.07242311909794807,0.05000000074505806,1.0,3.5899542904714066,20.802841379908312,0,6.274142305318736
EOG,3,N3,28989.0,0.2532865627575919,0.12318526850230244,0.22708143293857574,0.16666781902313232,0.3212166130542755,0.1545487940311432,0.05000000074505806,1.0,1.0668900718753456,1.7078620690178372,0,2.2663769015833592
EOG,4,REM,50064.0,0.18176769137771823,0.18489335623858136,0.10319698974490166,0.05000000074505806,0.24114610627293587,0.1911461055278778,0.05000000074505806,1.0,1.9788872775618118,4.098467904980299,0,6.447746883988495
EOG,6,Unknown/Uncertain,313.0,0.0732226385095249,0.051978479528440605,0.05000000074505806,0.05000000074505806,0.07889921218156815,0.028899211436510086,0.05000000074505806,0.6329113245010376,5.548356503864485,46.997296639052216,0,9.904153354632587
Index_R_noEOG,0,Awake,85553.0,0.3801351495997601,0.19913668159665343,0.35337477922439575,0.22799663245677948,0.5022703409194946,0.27427370846271515,0.020400000736117363,1.0,0.6453785606064061,-0.033632015366327206,0,1.0671747337907496
Index_R_noEOG,1,N1,36976.0,0.5128659568927507,0.19553681672893536,0.4861763119697571,0.3654277101159096,0.6486357152462006,0.283208005130291,0.05000000074505806,1.0,0.3622174172052261,-0.5545064360372027,0,0.0
Index_R_noEOG,2,N2,131253.0,0.5611963131445739,0.22893531285556545,0.5544419884681702,0.3723273277282715,0.7580552101135254,0.3857278823852539,0.05000000074505806,1.0,0.0004235732630120377,-1.0480515714798189,0,0.0
Index_R_noEOG,3,N3,28989.0,0.3321971814710507,0.19758517068373632,0.29770806431770325,0.16729332506656647,0.46744757890701294,0.30015425384044647,0.05000000074505806,0.997743546962738,0.636441021376915,-0.3588253751487467,0,0.258718824381662
Index_R_noEOG,4,REM,50064.0,0.7158717906152988,0.20231397222000203,0.7729350924491882,0.5794410854578018,0.8747552931308746,0.2953142076730728,0.057831522077322006,1.0,-0.8259951026119731,-0.13469064348350201,0,0.4793863854266539
Index_R_noEOG,6,Unknown/Uncertain,313.0,0.7401873522197095,0.23036902614845794,0.8041541576385498,0.5244823694229126,0.9672865271568298,0.44280415773391724,0.21946851909160614,0.9975154995918274,-0.5097679668584264,-1.190528989865324,0,0.0
Index_N_noEOG,0,Awake,85553.0,0.385762970118453,0.21514704851017105,0.3573487401008606,0.21348078548908234,0.5326864719390869,0.3192056864500046,0.020400000736117363,1.0,0.4857443227582904,-0.5807850456449373,0,0.0
Index_N_noEOG,1,N1,36976.0,0.40308429480027386,0.19245789689517215,0.40029314160346985,0.25284866988658905,0.5407553464174271,0.287906676530838,0.05000000074505806,1.0,0.1957298578061382,-0.586142232406913,0,0.1325183903072263
Index_N_noEOG,2,N2,131253.0,0.611735398601378,0.1667920770422715,0.6277662515640259,0.5073218941688538,0.7316769361495972,0.2243550419807434,0.05000000074505806,1.0,-0.4915885282471788,0.04570703989544134,0,1.0879751319969828
Index_N_noEOG,3,N3,28989.0,0.8289168930683087,0.10373960805303972,0.8498098850250244,0.7747737169265747,0.9048728346824646,0.1300991177558899,0.05000000074505806,0.9971490502357483,-1.4925628806284277,4.693914362956978,0,2.387112352961468
Index_N_noEOG,4,REM,50064.0,0.3260629090347907,0.15731092975409158,0.31461183726787567,0.22153063863515854,0.41765840351581573,0.1961277648806572,0.05000000074505806,0.9947023391723633,0.5565424100901856,0.4118764338018188,0,2.0194151486097796
Index_N_noEOG,6,Unknown/Uncertain,313.0,0.5891872502553958,0.21808344908337005,0.48497316241264343,0.3842049539089203,0.8452968001365662,0.4610918462276459,0.3842049539089203,0.970179557800293,0.5285212805297319,-1.4575171859509841,0,0.0
